abatyše	abbess
železná kráva	(= ,,iron cow") perpetual burden, see also zádušní kráva
kravař	cowherd, cowshed hand
krčmář	tavemer (male)(hist.)
krčmářka	tavemer (female)(hist.)
krejcar	kreutzer (a smaller coin, part ofthaler) (mun.)
krejčí	tailor
krejčová	dressmaker, see also švadlena
kremace	see pohřeb žehem
kresba	drawing
krev	blood
krevní msta	blood feud
krevní skupina	blood group
kriminál	jug, jail
Kristus	Christ
kronikář	chronicler, annalist
krtice	extrapulmonary form oftuberculosis (scro- phulosis)(med.)
krucifix	Crucifix
krutovládce	tyrant
krvácení	bleeding
krvácení do dutiny hrudní	thoracic hemorrhage (med.)
krvácení do dutiny osrdečníkové	pericardial hemorrhage (med.)
křest	baptism, christening
nouzový křest	baptism in exigency (ret.)
přijmout křest	to receive Christ
křestní	baptismal
křestní jméno	baptismal/Christian name (also given name)
činit znamení křížesee dělat znamení kříže
dělat znamení kříže to make the sign of the cross
svatý Kříž	the Holy Cross, the Holy Rood
křižák	crusader
křtící kněz	baptizing priest
křtiny	see křest
křtít	see pokřtít
křtitelnice	baptistery, baptismal shell, font
kšaft	see testament (hist.)
kšaftovat	1. to declare last will 2. see odkázat 1.
květen	May
kůl	pale (heral.)
kůlna	shed
kůň	horse
kupní	adj. purchasing
kupní cena	cost price
kupní smlouva	contract of purchase
kurát	curate, assistant priest, parochial vicar, associate/assistant pastor
polní kurát	army chaplain
kurděje	scurvy
kurent	German cursive hand (paieog.)
kurfiřt	elector (ofthe Holy Roman Empire)(hist.)
kůzle	kid
kvardián	guardian64
kvartána	see malárie čtyřdenní
květinářka	florist (female), flower girl
kvitance	quittance, receipt
kvitovat	to receipt, to confirm receipt
kýla	hemia
kyrysar	cuirassier (hist., milit.)
kyrysník	see kyrysar
laciný	inexpensive, cheap
lada	fallow
ležet ladem	to lie fallow
lafeta	gun-carriage
laický	lay, laic
laik	layman, laic
lakýrník	painter, decorator
lamač (kamene)	quarrier, stoneworker, quarryman
kostelní lavice	pew
školní lavice	form (in school), see also škamna
laxírka	see úplavice střevní
leč	hunt
léčba	see léčení
léčení	therapy, treatment
papežský legát	papal legate
legionář	legionnaire
legitimační karta	legitimation card
legitimita	legitimacy
legitimní	legitimate
lékárník	pharmacist, chemist, see also apatykář (male)
lektor	1. lector 2. reader, copyrighter
lem	bordure (heral.)
lenní	feudal
lenní pán	feudal lord, lord suzerain, see also feudál (hist.)
lepenice	rnud-wall
lesnictví	forestry, woodcraft
léta	(= years) age
bouřlivá léta	storrny years
léta Páně	in the year of God/Our Lord, (A.O.)
léta panování (pontifikátu)	regnal years
leták	see jednolistový tisk, also letáček
letnice	Whitsun, Pentecost
letopis	sing. annales
letopočet	era, epoch
starý letopočet	old style
letos	this year
leukémie	leucemia, see also nádor zhoubný mízní a krvetvorné tkáně
levirát	in Jewish community, duty of man to marry a widow of his deceased brother, if she had no children
levný	see laciný
levoboček	bastard, left descendant
ležet	to lie
lexikon	lexicon
statistický lexikon obcí	statistic lexikon of localities
zeměpisný lexikon	geografie lexikon
lhůta	time allowance, deadline
líbánky	honeymoon
moravská libra	Moravian pound (= 1/100 of Moravian centnýř = 32 Moravian lots = 128 Moravian kventlíks = 0,56 kg)
vídeňská libra	Viennese pound (= 32 lots)
líc	right side, face
líčení	see soudní líčení
lid	1. people, folk 2. population
lidovláda	popular government
lidové hlasování	plebiscite
lidový soud	magistrate's court
lidová správa	people's administration69
lidskost	humanity
lidský	human
mužská linie	male line
pobočná linie	branch/collateral line
přímá linie	direct line
vedlejší linie	see pobočná linie
lípa	linden
lipová ratolest	linden spray
list1. letter	2. leaf, folio, sheet 3. epistle
list uzavřený	letters close
mrtvodozorný list see list ohlédací
oddací list see oddací list
vůdčí list	see řidičský průkaz
výhostní listsee výhostní list
výuční list apprenticeship indenture
zachovací list letter of probity
zhostný list see výhost
listinář	collection of diplomatic documents, edited in a critical way
litera zákona	by the letter of the law
litera nedělní	dominical/Sunday letter (chron.)
literární	literary
literární historik	literary historian
literát	see spisovatel
literátka	see spisovatelka
literatura	literature
livrej	livery
lnářství	flax-growing
loď	boat, vessel, ship
lojovník	tallower
loňského roku	see loni
vídeňský lot Viennese lot(= 1/32 ofViennese talent = 4 kventlíks = 16 deniers = 17,5019 g)
loučné	hay-fields (term used in landed records)
louka	meadow, green/grass/hay-field
loupež	robbery
lov	chase
lues	lues
luna	Moon
lůno	womb
Lužice	Lusatia
lužický	Lusatian
Lužický Srb	Lusatian Sorb
Lužičan	Lusatian
lyceum	lyceum (formerly in Bohemia a girls' school)
magacín	magazine (hist., coll.)
magisteriát	master's degree
regulovaný magistrát	regulated municipality
magnetofonový záznam	tape record
magnificence	Magnificence (title ofrector of a university)
machinace	intrigue
máj	see květen
majáles	May festival (of students)
majestát	majesty
Rudolfův majestát	the Letter of Majesty of Rudolf
majetník	owner, proprietor, possessor (hist.), see also vlastník, držitel and majitel
majetný	wealthy, well-to-do
majitel	holder, keeper, owner, see also držitel and vlastník (male)
majitelka	holder, keeper, owner, see also držitel and vlastník (female)
makarónština	macaronics
makléř	broker
maminka	mamma, mommy (co!!.)
man	vassal
mandant	client
mandel	unit of calculation (= one quarter of a sixty)
manévry	manoeuvre, field-day
na manévrech	on manoeuvres
manifest	manifesto
manuál	manual (book)
radní manuál	manual oftown council
manžel	husband, consort, spouse
brát si za manžela (manželku)	to marry ap.
vzít si za manžela (manželku)	to marry ap.
manželka	wife, consort, spouse
zákonná manželka	legitimate wife
morganatická manželka	see morganatický
smíšené manželství	mixed marriage
uzavřít manželství	see uzavřít
zákonné manželství	legitimate marriage
gal	4. connubial
manželské pouto	marital/conjugal bond
narozen z manželského lože	bom in lawful wedlock
rozloučení manželského společenství při zachování svazku	marital separation
mapa	map
markýza	marquise, marchioness (British Islands)
masakr	massacre
matice	cultural foundation (hist.)
matka	mother
matčina linie	matriline
matčina strana	see matčina linie
Matka Boží	Mother of God
matka představená	Mother Superior
nevlastní matka	see macecha
matrika	1. register (e.g. parish r., university r.)
církevní matrika	Church register
státnímatrika	state register ofbirths, marriages and deaths
máz	capacity measure (metro!.)
český máz	Bohemian máz(= 1,4151)
medicína	medicine, see also lékařství
medikus	see lékař (hist.)
mědiryt(ina)	copper-engraving, copper-plate
měďák	copper coin
mechanik	mechanic, engineer
měknutí mozku	see paralýza progresívní
mendikant	subst. mendicant (rel.)
mendikantský	aqj. mendicant (rel.)
menšina	minority
měřice	1. square measure (metro!.)
moravská měřice	Moravian měřice(= 8 Moravian achtls = 700 Moravian square sáhs)
moravská měřice	Moravian měřice
vídeňská měřice	Viennese měřice (= 8 achtls)
měřička	cubic measure (metro!.)
česká měřička	Bohemian měřička(= 1/16 of Bohemian korec= 12 žejdlíks = 5,849 )
měřit	to measure
vyměřit	to mark out, to plot out
měřítko	scale
mesaliance, mezaliance	mésalliance
mesiáš	Messiah
nový měsíc	see novoluní
měsíčky	menses, menstruation
městka	see žíla křečová
město	town, borough, city
hlavní město	capital (city)
královské město	royal town/borough
věčné město	Etemal city (Rome)
věnné město	dowry town
vrchnostenské město	(= landlorďs market town) private/tributary town, subject town, see also městečko
městečko	1. market town77 or township (hist.)
městská čtvrť	see čtvrť
městská rada	borough council, municipal/town council
městský obvod	ward
městský úřad	municipality
měšťan	burgher/burgess (hist.)
erbovní měšťan	see erbovník l.
metr	metre/meter
metrák	see metrický cent
mikrofilm	microfilm
mikrofiš	microfiche
milá	sweetheart, girlfriend, true love
česká míle	Bohemian mile(= 365 fathoms)
milec	favourite, minion
milenec	lover, paramour
Boží milost	Divine grace
z Boží milosti	by the grace of God
milostivý	gracious
milostnice	mistress, paramour
milostné dobrodružství	see milostná pletka
milostný poměr	love affair
milostný vztah	affection
milovaný	beloved
milovat	to love, to be in love
milý	sweetheart (male), boyfriend, true love
mincmistr	master ofthe mint
mincovna	mint
ministerstvo	ministry
klíčové ministerstvo	key ministry
ministr	minister
ministr zahraničních věcí	minister of foreign affairs
minuskula	minuscule (paleog.)
humanistická minuskula	humanist minuscule
karolinská minuskula	Caroline minuscule
(paleog.) minuta	minute mír peace
délková míra	linear measure
mírka	cubic measure (metro!.)
česká mírka	see česká měřička
vídeňská mírka	Viennese mírka(= 1/32 of Viennese měřice = 1,92 )
misál	missal
m1S1e	mission
misijní	adj. missionary
misionářský	see misijní
místní	local
místní jméno	place-name
místnost	room
královský místodržící	royal govemor
místopřísežné prohlášení	affidavit
miškař	gelder, castrator
mít v držení	to hold in possession
mitra	mitre/miter
mizina	poverty
přijít na mizinu	to go on the rocks
mlád	see mladý (hist.)
mládek	brewery hand or mill hand (hist.)
starý mládenec	see starý
mládež	youth
mládí	youth
(Svatých) Mláďátek	Holy Innocents' Day, Chil- dermas (December 28)
mlékař	milk seller, dairyman
mlékařka	milk seller (female), dairywoman
větrný mlýn	wind-mill
mlynář	miller
mlynářka	miller's wife
mnich	monk, friar (of Mendicant Orders)
mniška	see řádová sestra
mnišský	monastic
mnohorodička	polygravida
mnohoženství	polygamy
mobiliář	movables
moc	power
modlitebna	house of prayer
mononukleóza infekční	mononucleosis (med.)
monstrproces	show-tria
montér fitter
monument	monument
mor plague, pest
mor dýmějový	bubonic plague
morálka	morality
Morava	Moravia
Velká Morava	Greater Moravia
Moravák	see Moravan
Moravské markrabství	Margraviate ofMoravia
morganát	a child born from morganatic wedlock (left-handed)
morganatický	morganatic
morganatický sňatek	morganatic marriage
morganatickámanželka	morganatic wife
mormon	Latter-day Saint, Mormon
morový	adj. plaguey, plague
morová rána see mor
morový sloup plague pillar
mortalita	see úmrtnost
most	bridge
motolice	liver-fluke
motyka	hoe
movitý majetek	movables
mravní	moral
mrtev	see mrtvý
mrtvice srdeční	heart attack, see also vmetek
mrtvéjablko	(=,,dead apple") see malomocenství
mrtvý plod	see plod
mrť1. see malomocenství	2. dead soil (hist.)
mrzák	cripple, see also invalida
msta	revenge, vengeance
krevní msta	blood feud
mučírna	torture chamber
mučit	to torture
muzeum	museum
muzikant	mus1cran
muž	1. man 2. husband
mužatka	virago
mydlárna	soap factory
polní myslivec	jager (literally hunter, member of elite light infantry)
mýtný	tollman
mzda	wage(s), salary
náboženský	religious
náboženská snášenlivost	see náboženská tolerance
náboženská svoboda	see svoboda
náboženská tolerance	religious toleration
hospodářský nábytek	agricultural chattels (hist.)
nacista	subst. Nazi
nádor zhoubnýz tukové tkáně	liposarcoma(med)
nadosmrti	for life
náhrobní deska	1. tomb slab 2. brass (esp. that
náhrobní kámen	see náhrobek
náhrobní nápis	inscription on a tombstone, also see epitaf
nakladatel	publisher
nálevna	bar-room
nalezenec	foundling
Nalezení sv. Kříže	Invention ofthe Holy Cross (May 3)
nalezinec	foundling hospital (hist.)
nalodit	to embark
námel	ergot
namlouvat	to woo, to make a pass(es) at, to walk/ go out with
námluvčí	see dohazovač
námluvy	courting, wooing
Nanebevstoupení Páně	the Ascension of our Lord, Holy Thursday
Nanebevzetí Panny Marie	the Assumption of Our Lady (August 15)
nápad	1. reversion, descent, esp. claim, right to a portion (hist.) 2. idea
nápadník	1. person presenting his (her) right to a portion (hist.) 2. wooer
nápis na pomníku	monumental inscription
naposledy	last, for the last time
napošik	see šikmé dělení
náprstník	thimble maker
napřesrok	following year, after one year
nápucha	see rozedma plic
narace	exposition ofthe particular circumstances involved (dipl.)
zříci se nároku	to abandon a claim
narození	birth, nativity
Narození sv. Jana Křtitele	Nativity/Birth ofSt. John the Baptist (June 24)
Narození Panny Marie	Nativity/Birth ofOur Lady (September 8)
narozeniny	birthday
narozený	bom
mrtvě narozený	still-bom
nářadí	tools
hospodářské nářadí	agricultural equipment, see also svršky
následník trůnu	successor to the throne, see also korunní princ
následující	see příští
nástin	outline
nastoupit na trůn	to ascend the throne, to come the throne
nastoupit vládu	to assume power
natěrač	painter, vamisher, polisher, glazer
nátisk	imprint (lib.)
nátlak	pressure, compulsion
platit v naturáliích	to pay in kind
náves	common (land)
navěky	forever
návrat	return
Navštívení Panny Marie	the Visitation of Our Lady (July 2)
nazelenice	see žloutenka
název	title (of a work, a book), name (ofa town), trade name (of a firm)
doplněný název	supplied title (lib.)
nazítří	tomorrow
názvosloví	terminology, nomenclature
nazývat se	to be called
nebe	heaven
nebozezář	drill maker
nebožka	deceased woman
nebožtík	deceased man, decedent
nebylo mu (dítěti) na čase	see dítě nebylo dono- šené
nečitelný	illegible
nedatovaný	dateless, without date
neděle	Sunday
Černá neděle	see Smrtná neděle
neděle Devítník	Septuagesima (the 9th before Easter)
neděle po Devítníku	Sexagesirna (the 8 before Easter)
neděle průvodní	see neděle provodní
neděle Septuaginta	Septuagint
nedělní	adj. Sunday
nedomykavost chlopní	valvular insufliciency
nedonošenost	immaturity
nedonošený	premature, immature (baby)
nedostatek	1. lack, insufliciency, shortage 2. see nemoc
nedošlý v životě mateřském	see mrtvý plod
nejmladší	youngest
nejstarší	eldest, oldest
nekřtěňátko	unbaptized childe (a child which died before its baptism)(hist.)
vysvědčení o nemajetnosti	means test
nemanželský	adj. bastard, illegitimate
nemoc	disease, illness, sickness
nemoc anglická	see křivice
nemoc boulová	see mor (dýmějový)
nemoc boží	see boží nemoc
nemoc ranná	1. see komplikace šestinedělí
nemoc svatého Antonína	see opar pásový
nemoc svatého Ondřeje	see dna
nemoc štítné žlázy	disease of thyroid gland
nemovitý majetek	immovable/real property/ estate
němý	dumb, mute
neobydlený	uninhabited, desert
neplatnost	nonvalidity (invalidity), nullity, see also anulace
neplatnost manželství	see manželství
neplatný	invalid, null
neplnoletost	minority (age)
nepříčetný	insane, lunatic
nepřítel	enemy, foe
nerovnorodý sňatek	see mesaliance
nesmrtelný	immortal
nesouhlas	disagreement, disapproval, disapproba- tion, dissent
neštěstí	unhappiness, misfortune, disaster, calamity
neštovice větrné	see neštovice plané
neť	see neteř (hist.)
neúroda	crop failure, poor crop
nevěra	infidelity
nevěsta	bride
nastávající nevěsta	bride-to-be
nevina	innocence
nevláda	see ochrnutí
nevlastní	adj. step- (e.g. stepfather)
nevolnictví	villeinage, serfdom, serfhood, serfage
zrušení nevolnictví	abolition of serfdom (1781)
nezaměstnaný	unemployed, workless, jobless
být nezaměstnaný	to be out of work
nezávislost	independence
nezletilec	minor, under age, not of age
neženatý	adj. unmarried/single man
niva	mead
nobilita	see šlechta
nobilitace	nobilitation, see also povýšení do šlechtického stavu
nobilitační falsum	forgery of letters of nobilitati
nobilitační listina	letters of nobilitation/ennoble- ment84
noc	night
noční dušení	see dušnost
noma	see snět měkkých tkání ústních
nosit	to carry
nosit dítě pod srdcem	(=,,to carry child under the heart") to be with child
notariát	notary
veřejný notariát	public notary (an office)
notář	notary (public)
veřejný notář	public notary (a person)
notářský	notarial (e.g. document)
notářský instrument	notarial instrument (dipl.)
notářský opis	see opis
notářství	notaryship, notary's office
noty	notes
novoluní	new moon, see also nový měsíc
novomanžel	newly-married man
Nro. Cons.	[=,,numerus conscriptionis"] see číslo domu
numismatik	numismatist
numismatika	(also numizmatika) numismatics
numismatický	numismatical
nunciatura	nunciature (rel.)
nuncius	nuncio (apostolic delegate)(rel.), see also legate
nunvář	see miškař
nůše	basket
nuzný	needy, destitute, penurious
nynějšek	the present
nynější	adj. present
nyní	now, nowadays, at present
obálka	envelope
obcování	intercourse
obcovat1. to associate with	2. to have inter- course
občanka	citizen, burgher (female)
občanský	civil
státní občanství	state citizenship (administration) 3. locality
domovská obec native domicile
místní obec	locality
obecné figury	charges (heral.)
obecní úřad	municipal corporation; local administration office, local board
oběť	victim
oběživo	(literally money in circulation) coinage, currency
oběžník	circular
obhájce	advocate, attomey
obchod s prádlem	hosiery
směnný obchod	barter
obchodní	adj. bussiness, commerce, trade, co- mmercial
obchodní cestující	commercial traveller/traveling salesman
obchodní oprávnění	trading license
podomní obchodnice	hawker (female), see also kramářka
obnos	amount
Obnovené zřízení zemské	Renewed Provincial (Land) Ordinance85
obora	game-park, deer-park, game-preserve
obrácení	conversion (to Christianity)
Obrácení Magdaleny	Conversion ofMagdalene (March 23 in the Prague diocese)
Obrácení sv. Pavla	Conversion of St. Paul (January 25)
obraz	picture
obrna	palsy, paralysis (med.)
obrna dětská akutní	poliomyelitis (med.)
obrna míšní	myeloplegia (med.)
obrna poloviny těla	hemiplegia (med.)
obrok	fodder
obrozenec	revivalist
obrození	renascence, revival
české národní obrození	Czech National Revival86
obřad	ceremonial, ceremony
korunovační obřad	coronation ceremony
mešní obřad	Mass ceremony
pohřební obřady	funeral rites
svatební obřad	wedding ceremony, marriage ceremony, nuptials, the Rite of Marriage (rel.), bridal, marriage service
obřezání	see obřízka
Obřezání božího	see obřezání Páně Obřezání Páně Feast ofthe Circumcision (January 1)
obvěnění	see věno and svatební dar
obyčej	custom
obyvatel	1. inhabitant , dweller (male) 2. occu- pier (male)
obyvatelka	1. inhabitant, dweller (female)
octář	vinegar-maker
Očišťování Panny Marie	the Purification, Presentation of Our Lady/the Blessed Virgin Mary, Candlemass (February 2)
očkování	vaccination
odbíračka	see hnisavý zánět podkožní tkáně
odboj	resistance (during a war)
odbojný	rebellious
odborník	specialist, professional, expert
odbory	trade union
oddací	acfj. marriage
oddací matrika	see matrika oddaných
oddaný	wedded
oddávací	acfj. wedding
oddávat	1. to marry 2. to give (man to woman) in matrimony
oddavky	see sňatek
jízdní oddíl	squadron
odejít na výměnek	to retire
odesílatel	sender
oděv	dress, garments, clothes
oděvník	outfitter, clothier
odevzdat svou duši všemohoucímu Bohu	to commit/deliver one's soul up to Almighty God
odevzdat spravedlnosti	to hand over a person to justice
odhadovat	to estimate
odchod do ústraní	recess
odchovanec	pupil (of a school)
3. legacy, bequest (property)	4. heritage
vzájemný odkaz	1. cross-reference (lib.)
odkázat	1. to bequeathe, to will, to devise
odpadlík	apostate
odplata	see msta
odpočinek	I. rest 2. retirement
odpočívat	to rest
odpočívej v pokoji!	rest in peace!
odstoupit	to resign, to renounce, to abandon
odstupné	compensation (in money)
odsun	transfer, evacuation
odškodné	damages, indemnity, compensation
odvolací	appellate
odvolatel	appellant
ofěra	offertory (rel.)
oheň svatého Antonína	see snět
ohlášky	banns (of matrimony/marriage)
mít ohlášky	to ask/publish/put
upito call the banns
trojí ohláška mezi službami božími	three banns between the divine services (hist.)
politický okres	(=,,political district") state administration district
okresní	adj. district
okresní hejtmanství	see hejtmanství
okresní soud	district court
okrsek	district, police ward
okulární visitace	„ocular inspection"
olověný	adj. lead
oltář	altar
oltářník	chantry priest
omítkář	plasterer
omladce	see komplikace v šestinedělí
onemocnět	to fall ill/sick
opar pásový	herpes zoster (med.)
opat	abbot90
opilec	drunkard
opilství	drinking
opozice	opposition
oprátka	noose
opuchlina	see otok
opustit	1. to leave 2. to desert, to abandon, to forsake
oráč	ploughman/plowman
Přemysl Oráč	Přemysl the Ploughman/Plowman91
orba	ploughing/plowing
ordinace	1. ordination 2. surgery, consulting room
ordinář	ordinary (official) (rel.)
ortel	see (soudní) verdikt, condemnation
ořech	nut
osada	settlement
osel	donkey
oset	see sít
osetí	see osev
osev	sowing, seed
osidla	toils, see also tenata
osoba	person
osoba bez příbuzenského vztahu	person not evidently related (dem.)
politicky kompromitovaná osoba	politically compromised person
osobní	personal
osobní doklady	documents
osobní jméno	see jméno
osobní nahlédnutí	personal inspection
osobní průkaz	identity card
osobnost	personality
osud	fate, destiny
osutiny	see zarděnky and spalničky
osutina	see vyrážka
osvoboditel	liberator
osvojitel	see adoptivní otec
osvojitelka	see adoptivní matka
osypky	see spalničky and neštovice plané, also measles
osypky černé	see neštovice pravé
ošetřovatel	attendant
ošetřovatelka	nurse
otcovská moc	patemal authority
otcovství	patemity
otčím	step-father
otčímský	step-fatherly
otčina	see vlast
důstojný otec	Reverend Father (title of Catholic priest)
Svatý Otec	see svatý
z otcovy strany	on the patemal side
otěhotnění	impregnation
otěhotnět	to come with child, to get pregnant
otep	bundle, faggot
otok	swelling, edema (med.)
otok plic	edema oflungs (med.)
otok vzdušný	see rozedma plic
otrava	poisoning, intoxication
otrava alkoholem	alcohol poisoning
otrava houbami	poisoning from mushrooms
otřes mozku a míchy	concussion ofbrain and spinal cord (med.)
ovce	sheep
ovčák	sheperd
ověřený výtah z listiny	estreat (of a document)
ověřit (notářsky)	notarize
ovoce	fruit
pacholátko	little boy or girl (hist.)
pachole	see pacholátko (hist.)
pacholík	little boy
pacht	tenancy, tenure, lease
pachtovat	see propachtovat
pachtýř	tenant(-farmer), renter, lease-holder
pakostnice	see dna
pakt	pact (treaty)
pod palbou	under fire
palcát	mace
český palec	Bohemian inch (= 1/24 of Bohemian ell = 2,47 cm)
moravský palec	Moravian inch (= 2,475 cm)
vídeňský palec	Viennese inch (= 2,634 cm)
paleografický rozbor	paleographical analysis
paleografie	paleography 93
památka	memorial
pamatovat	remember
paměti	memoirs
pamětihodnost	memorability, sight
pamětihodný	memorable
pamětní	memorial
pamflet	pamphlet
pan	Mr.
buď mu Pánbůh milostiv	the Lord have mercy upon him
Pán	the Lord
Pánbůh	the Lord
Panna Marie	the Virgin Mary, Our Lady
blahoslavená Panna Marie	the Blessed Virgin Mary
na panském	on landlorďs (e.g. ground)
panslavismus	panslavism (Pan-Slavism)
panství	1. dominion, domain, estate, demesne
panstvo	nobility
papežský	papal, pontifical
papežská bula	papal bull
papežská neomylnost	infallibility ofthe Pope
papír	paper
paralýza	paralysis
paratyf	typhus, paratyphoid fever
parchant	see bastard
parník	see parní loď
paroplavební společnost	steamship company
pas	pass, passport
vydat pas	to issue a passport
pasák koz	goatherd
pasionál	passional
pasovat (na rytíře)	to accolade/to knight a person, see also nobilitovat and povýšit do šlechtického stavu
pastevec	see pasák
pastor	pastor
pastorek	step-son (hist.)
pastorkyně	step-daughter (hist.)
pastouška	1. village poorhouse (hist.)
pastucha	see pasák 1.
pastýř	shepherd (sheep) (male)
pastýřka	shepherd (sheep) (female)
pastýřský	1. pastora! 2. shepherďs
Patent o zrušení nevolnictví	the Letters Patent of Abolishing of Serfdom97
patrola	patrol
patron	patron saint
patrocinium	consecration (to a certain saint)
patřit	to belong to
paulán	Minim
pazderník	flax-braker (a person)
pazdeří	tow
páže	page ( a person)
pažit1. turf	2. see půda
vysoká pec	blast fumace
pečeť	seal
kulatá pečeť	round seal
pečeťpod papírovým krytem	papered seal (sigil.)
pečetní prsten	see prsten
pečetní vosk	sealing-wax
pečovat	to care for
penále	see pokuta
peníze	money
penzista	pensioner, annuitant, senior citizen, reti- red
penzistka	woman pensioner
pergamen	parchment, vellum
pergamenový proužek	leather tag (of seal)(sigil.)
periodikum	periodical
perleťář	pearl-maker
perzekuce	see pronásledování
peřina	continental quilt (a sack stuffed with fea- thers), duvet
pěstoun	foster-father/foster-parent, guardian
pěstounka	foster-mother
pěstovat	to cultivate
pěší	aqj. pedestrian
pěší robota	see robota
pěšina	path, pathway
peteče	see skvrnivka epidemicka and neštovice pravé
petice	petition
pícnina	fodder plant
píchání	see zánět plic and zánět pohrudnice
pijan	see opilec
pilníkář	file-cutter
pinta	pint (cubic measure)(metrol.)
česká pinta	Bohemian pint(= 1/48 ofBohemian korec= 1/12 ofBohemian věrtel= 4 Bohemian žejdlíks = 1,949)
písárna	writing office
veřejný písař	scrivener
písmák	rural popular scripturist (and often chronicler)
písmeno	letter, character
nedělní písmeno	see litera nedělní
tiskové písmo	printing types
písmolijec	typefounder
pivovarník	brewer, see also sládek
plac	see náměstí (hist.)
plátenice	linen-draper (female), see also obchod- ník s bílým prádlem
pláteník	linen-darper (male), see also obchodník s bílým prádlem
platič	payer
platit	to pay
platit v naturáliích	see naturálie
platit ve splátkách	to pay by instalments
plátno	linen
platnost	validity
plavec	I. rafter, raftsman see also vorař (hist.)
válcovna plechu	rolling mill
plicní	pulmonary
plika	plica (folding ofpaper or parchment for seal)
plný	full, all, complete
být plnoletý	to be of age, to be a major (legal adulthood), to be of full age
plnomocník	plenipotentiary, assignee, attomey
plnoprávný	fully-qualified
plocha	area, surface
plot	fence, railing, hedge
pluh	plough/plow
pluk	regiment
dělostřelecký pluk	artillery regiment
pochodový pluk	infantry regiment
pocta	honour
poctivý	virtuous, honest, honour(able)99 (hist.)
99 In documents, an attribute	ojbridegroomand bride orlilieoj a peasant.
počasí	weather
zlatý počet	golden number (chron.)
početí	conception
počít	to conceive
podagra	see dna
poddaný k	to be subject to (e.g. demesne)
poddaný	subst. retainer, villein
pod jednou	(to receive the Holy Communion) in one kind
podkrajský úřad	subregional office
podnájem	apartments, accomodation, lodging, rooms
podnebí	climate
podobizna	portrait
podobojí	in both kinds (Utraquist)
podpalubí	berth-deck
podpis	signature
vlastnoruční podpis	autograph, signature
podplukovník	lieutenant-colonel
podporučík	second lieutenant/chiefwarrant offi- cer
podpraporčík	warrant officer (one of several)
podpůrný	supporting
područí	bondage, thrall
podsedek	1. holder of smaller than normal
podzámčí	settlement around a manor house/castle
podzim	autumn/fall
pogrom	pogrom
pohan	heathen, pagan
pohanství	heathenism, paganism
pohlaví	gender, sex
pohlavní	sexual
pohlavní styk	sexual intercourse, see also koitus and soulož
pohnat	to arraign, impeach, summon
pohodnice	knacker's yard
pohodný	knacker
pohraničí	border-land, frontier regions/area
pohrobek	posthumous child (child boru after de- ath offather)
pohřbení	burying
pohřbenwas burried (hist.)
pohřbít	to bury
pohřbít po křest'anském způsobu	to bury with Christian rites
pochod	march
pochodovat	to march
pochop	see biřic
pochovat	to bury
pochován(a)	buried
pochovávající kněz	burying priest
pojednání	treatment, treatise
pojmout za ženu/muže	to take one for wife/ husband, to take one in marriage
pokrevenství	consanguinity (blood-relationship), kindred (gen.)
pokřtěnec	see pokřtěný
pokřtít	to baptize/baptise
pokřtěn jest	he was baptized (hist.)
pokuta	penalty
polcení	impalement, dimidiation, per pale (heral.)
polcený	impaled (heral.)
policajt	policeman (hist., today coll.)
policejní	acij. police
policejní úřadovna	see policejní stanice
policie	subst. police
tajná policie	secret police
policista	policeman
tajný policista	secret policeman (G-man)
pololetí	half of a year
polorodý	acij. uterine (bom of the same mother but by a different father)(gen.)
polounciála	halfuncial (paleog.)
polovina	half
v polovině století	in the middle of century
polský	Polish
polygrafie	printing (pre press, press, post press)
pomazání nemocných	Holy/Extreme unction
Pomazaný Páně	the Lorďs Anointed (Christ)
pomocné vědy historické	auxiliary sciences of history
svatodušní pondělí	Whit Monday, Whitmonday
popálenina	subst. bum
popel	ash
popeličina	vair (heral.)
popis	description
poplatek	tax, fee, charge, subscription
poprava oběšením	execution by hanging
poprava stětím	beheading, decollation
popravit	to execute
poránu	in the moming
poroba	serfdom, enslavement, servitude, subjection, bondage
porod	childbirth, delivery also see narození
porostlina	growth (hist.)
porota	jury
poručnictví	guardianship, wardship, tutelage
poručník	guardian (male)
porybný	superintendant offisheries
posedlost ďáblem	diabolical obsession
posel	messenger
soudní posel	summoner (hist.)
poselstvo	delegation, deputation (hist.)
posetý	(= powdered) semé (heral.)
poslíček	errand boy, messenger boy
posloupnost	succession (gen.)
rodová posloupnost	succession of generations in lineage
poslušný	obedient
posmrtný	posthumous
postavit za svědka	see stát za svědka
postel	bed
postila	postil (rel.)
postní	Lenten
postní den	fasting day
postní doba	Quadragesima, the Lenten season
postoupit	to assign, to cede
postřihovač	shearer, cropper
posudek	the second court oflaw, following
posvátný	sacral, sacred
posvěcení	consecration, sacrification
posvětit	to consecrate
posypaný	see posetý
pošikem	see šikmé dělení
pošťák	postman/mailman
poštmistr	postmaster
poštovní	postal, mail
poštovní dostavník	post-coach (hist.)
poštovní razítko	postmark
poštovní tajemství	secrecy ofthe post/mail
poštovní úřad	see pošta
poštovní známka	postage stamp
potah	horse-span, ox-span, horse-team, ox-team
potence	potency
potomstvo	issue, offspring, progeny, posterity
potrat	abortion, stillbirth
samovolnýpotrat	miscarriage, spontaneous abortion
umělý potrat	intentional abortion
poustevnice	anchoress, ancress
poustevník	hermit, eremite, anchoret, anchorite
