id,latin_word,czech_translation
1436,dimitto,"rozpustit, pustit"
1437,dimitto,ztratit
1438,Dionysius,Denis
1439,directus,přímý
1440,directus,"přímý, podélný, vodorovný"
1441,directus,"přímý, rovný, kolmý"
1442,diremitto,přerušit
1443,dirigo,zřídit
1444,discedo,"odcházet, rozejít se"
1445,discedo,odejít
1446,discedo,"odcházet, odstupovat, odlučovat se od koho ; ustoupit od čeho, zanechat čeho, přestat s čím ; vzdálit se, uchýlit se (pryč od čeho), odbočit ; přejít, přestat, pominout, odstoupit, odeznít"
1447,discedo,"odtáhnout, ustoupit, odcházet, vzdálit"
1448,discedo,rozejít se
1449,discedo,rozcházet se
1450,discedo,"rozcházet se, rozptylovat se, jít na jinou stranu ; rozestoupit se ; přistoupit (~ in... přistoupit k něčímu mínění, Pražák sic) ; kráčet odkud, odcházet, odstupovat, opustit koho, odpadnout od koho, odejít od koho"
1451,discensio,(viz dissentio)
1452,discessus,odchod
1453,discludo,"oddálit, odloučit, rozdělovat"
1454,disco,"učit se, naučit se (alqd. čemu), být vyučován, být posluchačem (koho), studovat (práva) ; poznávat, poznat ; dovědět se, zvědět (rozhodně nenalezen význam ""vyučovat"")	Pražák celkem nic víc, LMALB nic"
1455,discordo,"být nesvorný, nesjednocený, rozdvojený, ve sváru, znesvářen ; nesnášet se, svářit se ; bouřit se, vypovídat poslušnost ; různit se, lišit se, neshodovat se, rozcházet se, lišit se v úsudku"
1456,discrepo,"nesouhlasit, nebýt v souzvuku, neshodovat se, nesrovnávat se, uchylovat se, různit se, lišit se ; nesouhlasit, různě znít"
1457,discretio,"rozlučování ; rozeznávání, zkoušení ; opatrnost, obezřetnost, moudrost ; rozdíl"
1458,discretus,"rozdělený ; oddělený, odlehlý ; jemný, zdvořilý, vybraný (DZ), urozený ; prozíravý, moudrý, rozvážný, uvážlivý, opatrný ; rozumný, uvážený, promyšlený ; nespojitý, přetržitý ; zvláštní, vlastní (fil. o supozici či pojmu) ; význačný, znamenitý (DZ slovutný	LMALB a Pražák"
1459,discretus,"význačný, znamenitý (LMALB), slovutný (o osobách - viz RS 60:22, krit. aparát - leckdy lepší než ""znamenitý"")"
1460,discrimen,"nebezpečenství, krize"
1461,discumbens,stolovník	Pražák ani LMALB nic
1462,discumbo,"rozesadit se, rozsadit se, rozložit se (každý na své místo), usadit se, sedět u stolu, zasednout, sedět ; stolovat, být na hostině, hodovat ; ulehnout ke spánku, jít spát ; zasedat v radě	Pražák a LMALB"
1463,discurro,"rozbíhat se, rozptylovat se ; rozvinout se (voj.) ; pobíhat, těkat ; obcházet, cestovat z místa na místo (DZ ex RS 48)"
1464,disicio,"rozrazit, rozbít, rozehnat"
1465,disidia,zahálka
1466,dismembratio,dělení ostatků
1467,dispensatio,"rozvažování, odvažování ; rozdělování, vyplácení (peněz) ; správa, spravování, finanční správa ; rozdělování ; řízení, správa"
1468,disperdo,"zničit, zkazit, přivést v zkázu, přivést na mizinu ; pištět, vrzat písničku"
1469,dispergo,"roztrousit, rozptýlit"
1470,dispersus,"rozptýlený, rozsypaný"
1471,dispono,"klást na různá místa, tu a tam klást, rozestavovat (zejm. voj.), rozkládat ; pořádat, uvádět v pořádek, rovnat, urovnávat, upravovat ; určovat, ustanovovat, nařizovat ; připravit, přichystat"
1472,dispono,rozestavit
1473,dispositio divina f.,"řízení Boží, Boží vůle	LMALB"
1474,dispositio testamentalis f.,"závěť, poslední vůle	LMALB"
1475,dispositio,ukládání? (ve spojení dispositio penitencie ukládání pokání)	DZ ex TDH 315:1
1476,dispositio,"upravení, uspořádání, zařízení ; rozdělení, rozvrh, osnova, dispozice (v rétorice, architektuře) ; rozestavení, dispozice (voj.) ; nařízení, ustanovení, rozhodnutí ; řízení, správa ; ustanovení n. nařízení papežské stolice ; právo zacházet n. nakládat s č	Pražák a LMALB"
1477,dispositio,"závěť ; urovnání sporu, dohoda, úmluva ; smrt ; dispozice, šíře, duševní schopnost, duševní mohutnost (jedna z Aristotelových kategorií) ; tělesný vzhled, vzezření ; tělesný stav, náchylnost ; způsob vypracování, výzdoba (o tkanině)	LMALB"
1478,disputo,"bádat, zkoumat"
1479,dissensio,(ani LMALB nic víc)
1480,dissensio,"nesouhlas, různost smýšlení, neshoda, nesrovnalost, spor, rozbroj, rozbroj, odchylka, rozbroj, roztržka, nesvornost, různice, spor"
1481,dissensio,"nesouhlas, různost smýšlení, neshoda, spor ; odchylka, nesrovnalost"
1482,dissensio,"roztržka, nesvornost, spor"
1483,dissentio,"nesouhlasit, být jiného názoru, neshodovat se, nebýt zajedno, rozcházet se ; mít různá mínění, rozcházet se ; nesnášet se ; odporovat, být proti komu ; odporovat, lišit se, neshodovat se, odchylovat se, různit se (a + abl.)"
1484,dissero,"vykládat, rozbírat, pojednávat, přednášet, rozmlouvat, rozprávět, hovořit (de re - o čem)"
1485,dissero,rozsévat
1486,dissimulo,"zatajit, zamlčet, zakrývat"
1487,dissipo,"roztrousit, rozmetat"
1488,dissono,"lišit se, rozcházet se ; zazpívat falešně, vydat falešný tón, neladně znít	Pražák vůbec nic, Šenková neladně znít"
1489,distans,"odlišný, různý, rozdílný ; protivný, opačný, sporný"
1490,distensio,(viz dissentio)
1491,distinctio,"část řeči, teze, výklad ; teze, názor"
1492,distinctio,"přestávka, pauza (v řeči) ; oddělování slov interpunkčními znaménky ; znaménko ; souvětí	gram."
1493,distinctio,"vymezení, ohraničení (pojmu apod.)	DZ ex RS 53:18"
1494,distinctio,"zpestření, vyzdobení, vytříbení ; rozeznávání, rozlišování ; rozdílnost, rozmanitost, různost ; rozdíl, odlišnost ; plán, řád (stavět budovu ""sine distinctione"" = bez plánu, naslepo) ; rozčlenění, rozdělení, roztřídění ; hranice, rozmezí ; oddíl (spisu)	Pražák a LMALB nic víc"
1495,distineo,z obou stran držeti
1496,distinguo,"rozdělit, rozčlenit, rozrůznit, rozrůzňovat ; rozlišovat, rozeznávat ; určovat, stanovit, vyznačovat, vyznamenávat ; klást důraz na co ; vyšívat ; pestře barvit, pestře zdobit, krášlit"
1497,disto,"být vzdálen, být daleko, být odlehlý, mít daleko (kam) ; dělit (o dvou časech) ; rozcházet se, lišit se, různit se, neshodovat se"
1498,disto,"různo státi, být vzdálen, lišit se"
1499,distribuo,přidělit
1500,ditissimus,nejbohatší
1501,diucius,"dlouho, déle, dost dlouho, příliš dlouho	diutius v klasické latině"
1502,diurnus,denní
1503,diurturnitas,"délka, doba trvání"
1504,diutius,"dlouho, déle, dost dlouho, příliš dlouho"
1505,diuturnior,déle trvající
1506,diuturnus,"dlouho trvající, trvalý"
1507,diuturnus,"dlouhý, dlouhotrvající ; dlouhověký, dlouhožijící ; trvalý ; trvanlivý"
1508,diversimode,"různě, různým způsobem (LMALB ; Pražák nic, MLLM jen ""diversimodus"" a nic zásadního) ; odlišně, rozdílně, jinak (DZ ex RS 52:17)"
1509,diversimode,"různě, různým způsobem (toto LMALB ; Pražák nic) ; odlišně, rozdílně, jinak (DZ ex RS 52:17)"
1510,diversimodus,"různý, rozličný (LMALB) ; různý, rozdílný, odlišný (DZ)"
1511,diversimodus,různých druhů
1512,diversus,"odchylný, opačný, různý"
1513,diversus,"různý, nestejný, rozdílný ; rozmanitý (DZ) ; odporující si, různý, odlišný ; nepřátelský ; oddělený, vzdálený, daleký, odlehlý"
1514,diversus,"různý, rozdílný, odchylný, opačný, protivný ; v různé strany, z různých stran, na různých místech, na různých stranách ; oddělený, odloučený, rozptýlený ; oddělený, zvlášť, jednotlivě ; v různou stranu, z různé strany, na jiném místě"
1515,divido,"oddělovat, dělit, odlučovat, odtrhávat ; odlišovat, rozlišovat, dělat rozdíl ; rozdělovat, rozlučovat, dělit ; rozdělovat, třídit ; rozvrhnout, uspořádat ; rozvrhnout látku (o slohu) ; trhat, rozrážet, tříštit ; rozdvojovat, rozštěpovat	Pražák a LMALB"
1516,divido,"rozdílet, rozdávat, rozdělovat, přidělovat, dělit mezi koho ; odlišovat, činit rozdíl ; dělit (mat.) ; zdobit ; dělit rodinný majetek ; rozeslat (jezdce na všechny strany apod.) ; nemít podíl na čem (ab alqa re, v pas.)	Pražák a LMALB"
1517,divina Pagina f.,božské Písmo
1518,divinus,"boží, božský, svatý"
1519,divisio,"dělení, rozdělování, rozdělení ; rozdílení, rozdělení, rozdávání ; rozvrh, třídění, osnova, uspořádání ; (log.) rozdělování (rozsahu pojmu)"
1520,divisor,"oddělovatel ; dělitel (mat.) ; rozdělovatel (např. pozemků, peněz) ; rozhodčí (při rozdělování majetku) ; náhončí, rozdělovatel peněz (před volbami k podplácení voličů) ; správce a rozdělovatel kanovnických prebend ; rozdělovatel vytěžené rudy	LMALB a Pražák, vč. českých výrazů"
1521,do,dát
1522,doblerium,"(Pražák nic, LMALB nic, ani pod dovlerium, MLLM nic, uvádí jen dobletus, viz ; mohlo by to souviset ; doblerium Google 19.1.2004 nic ani pod -o, -i)"
1523,dobletus,"halena, kabátec (MLLM blouse - doublet, tvar gen. a rod neuvedeny ; LL sub doublet: mužský krátký přiléhavý kabátec z 15.-17. stol. ;"
1524,dobletus,"MLLM uvádí dobletus jako dosvědčené od 14. stol.) ; barvený korál (MLLM stained coral, čes. ekvivalent vyvozen z LL a Mill.)	MLLM ; LMALB nic, ani dubletus"
1525,doceo,vysvětlit
1526,doceo,dokázat
1527,doceo,"dokázat, vysvětlit"
1528,doctor,učenec
1529,dogmaticus,"dogmatický, věroučný	MLLM"
1530,dogmatizo,"vyučovat dogmatiku, vyučovat víru	MLLM"
1531,doleo,"cítit bolest, něco těžce nést"
1532,doleo,"cítit bolest, trpět ; rmoutit se, být zarmoucen, truchlit ; želet, litovat ; soužit se ; bolestně nést, těžce nést ; být rozčílen, mrzet se, hněvat se, být nevrlý"
1533,dolor,"bolest ; vzrušení, pohnutí ; bolest, bol, trápení, hoře, žalost, zármutek, žal ; lítost ; trud ; rozčílení, rozmrzelost, hněv, rozhořčení, nevrlost ; příkoří, urážka ; cit, pathos (v řečnictví)"
1534,dolor,hněv
1535,dolosus,lstivý
1536,dolum,"podvod, lest"
1537,dolus,"podvod, lest"
1538,domesticus,"člen rodiny ; v pl. služebnictvo, čeleď"
1539,domicilium,"příbytek, sídlo, domov"
1540,Dominica Cena,Večeře Páně
1541,dominica oratio,modlitba Páně
1542,dominica,"neděle (výpustka z dies Dominica)	DZ ex Fournier I, 238"
1543,dominicella,slečna
1544,dominor + dat.,panovat komu / čemu
1545,dominor,"vládnout, panovat, ovládat, být pánem, být vládcem"
1546,Dominus Deus,"Hospodin Bůh (Gn 2,4-9 atd., mnohokrát)"
1547,dominus domus,"pán domu	Fournier I, 308"
1548,Dominus,"Pán (o Ježíši), Hospodin (o trojjediném Bohu či Bohu Otci ; takto velmi často Vg.)"
1549,domuncula,"domeček, domek"
1550,domus,"dům, příbytek"
1551,donativum,"(částka placená některými nově zvolenými papeži prominentním Římanům, kterou si zajišťovali jejich věrnost)"
1552,donum,"dar ; obětina, oběť, záslibný dar ; vojenská vyznamenání, čestné odznaky (v pl.)"
1553,dos,věno
1554,Dresda,Drážďany
1555,drudens,"(LMALB nic, ani druens, druo, drudo, jedině drugo, bohemismus pro druh apod.)"
1556,dubietas,"pochybnost, nejistota"
1557,dubitatio,rozpakování
1558,dubito,"být plný pochybností???	TDH 309:23 bez předmětu, bez čekoholi"
1559,dubito,pochybovat
1560,dubito,"pochybovat, nemít jistotu, být v nejistotě, rozmýšlet se, nevědět (jistě) ; váhat, kolísat ; nebýt rozhodnut, rozmýšlet se ; zdráhat se, rozpakovat se, být v rozpacích ; otálet, meškat, zdráhat se ; uvažovat, přemýšlet, zamýšlet, uvážit co"
1561,dubito,"pochybovat, zdráhat se"
1562,dubito,váhat
1563,dubla,dvojitá přikrývka 	MLLM
1564,duco,"meškat, zdržovat, odkládat"
1565,duco,"mít za, domnívat se, pokládat, mínit"
1566,duco,"táhnout, přitahovat, vléct ; vézt, odvážet, přivážet ; vytahovat ; vážit, čerpat, nabírat, dobývat ; vést, odvádět, přivádět ; protahovat, prodlužovat ; napínat (koho) ; vést, řídit"
1567,duco,usoudit
1568,duco,"vést k čemu, ponoukat, nabádat ; vábit, lákat, navnadit, svádět ; odvozovat (co od čeho) ; počítat ; uvádět, pokládat, uznávat, mít za něco, domnívat se, mínit, myslet ; provádět, tvořit, vytvářet ; působit ; zřizovat, strojit ; nabývat, dostávat"
1569,dum,"ještě, dosud ; zatímco, když (o současnosti) ; dokud, pokud (o současnosti a stejně dlouhém trvání) ; až, do té doby, až konečně, dokud ne ; až by, dokud by ne, aby zatím ; jen když, jen jestliže, jen aby, jen ať (uvozuje větu přací)"
1570,dum,"nuže tedy, nuže jen (příklonka k zesílení, někdy se ani nepřekládá)"
1571,dům,"ještě, dosud ; zatímco, když (o současnosti) ; dokud, pokud (o současnosti a stejně dlouhém trvání) ; až, do té doby, až konečně, dokud ne ; až by, dokud by ne, aby zatím ; jen když, jen jestliže, jen aby, jen ať (uvozuje větu přací)"
1572,dum etiam,ještě ani
1573,dům etiam,ještě ani
1574,dummodo,"jen když, jen jestli, jen jestliže, jen ať (s konj.)"
1575,duodecim,dvanáct
1576,dupla,???
1577,dupla,dvojitá přikrývka	MLLM
1578,duplicando,"(viz duplico ; MLLM, Pražák ani LMALB přímo nic)"
1579,duplicando,"dokola, znovu a znovu???	DZ ex RS 56:11"
1580,duplico,"ohýbat, křivit (bás. o raněných končetinách) ; (práv.) pronášet dupliku (odpověď na žalobcovu repliku)	Pražák a LMALB"
1581,duplico,opakovat (DZ ex RS 56:11 (dicit ... et similia duplicando)
1582,duplico,"zdvojnásobit, zvětšit"
1583,duplico,"zdvojovat, zdvojnásobovat ; zvětšovat, rozmnožovat, zmnožovat ; opisovat, duplikovat, vyhotovovat dvojmo (např. listinu) ; rozdělovat ve dví, půlit, rozdvojovat ; skládat, ohýbat, skládat na dvě poloviny	Pražák, LMALB, DZ"
1584,duritia,otužování
1585,duro,"otužovat, zesilovat"
1586,duro,"trvat ; vytrvávat, setrvávat, držet, vydržet ; činit tvrdým, tvrdit, tužit ; zatvrzovat ; otužovat, utužovat, zesilovat ; být tvrdý, zatvrzelý, zatvrdit se"
1587,Durocortorum,hlavní město v Belgické Galii
1588,durus,"tvrdý, tuhý"
1589,dux,vévoda
1590,dyabolus,(form. diabolus)
1591,e,(viz ex)
1592,ea,tudy
1593,ebrius,"opilý, opojený, podnapilý ; zpitý, opilý čím (přen.)"
1594,Eburodunum,(dnešní Brno)	Goodrick-Clarke
1595,ecce,"hle, hleď, ejhle"
1596,ecce,"hle, pohleď, podívej, hele	DZ"
1597,ecclesia malignantium,církev zlovolníků
1598,Ecclesiastes,Kazatel (biblická kniha)
1599,Ecclesiasticus,Sírachovec (biblická kniha)	ověřeno v ČEP s. 908
1600,econverso,"a obráceně, a vice versa	DZ ex RS"
1601,econverso,"naproti tomu, naopak, pak	LMALB s. 924"
1602,econverso,"obráceně, a naopak, vice versa (tj. v MLLM má domněnka potvrzena) ; naopak, naproti tomu	MLLM"
1603,edisco,učit se nazpaměť
1604,edo,jíst
1605,edo,"vykonat, provést, vytvořit"
1606,edus,"kůzle, kozlík, kozel (i kozlové po levici takto)	neklas. pro haedus"
1607,effemino,"zženšťovat, činit ženou"
1608,effero,vynést
1609,effero,"vynést, rozhlásit"
1610,efficio,"udělat, vykonat, učinit, provést, vytvořit, způsobit ; činit (o míře, rozměru atd.), obsahovat, vynést ; dojít čeho ; plynout, vyplývat (z toho plyne atd.)"
1611,efficio,"postavit, způsobovat, činit"
1612,efficio,stávat se (v pasivu)
1613,efficio,"udělat, vykonat, učinit, provést, vytvořit, způsobit ; činit (o míře, rozměru atd.), obsahovat, vynést ; dojít čeho ; plynout, vyplývat (z toho plyne atd.)"
1614,efficio,"způsobovat, činit"
1615,effigies,"obraz, figura, forma, vzhled, podobizna, zpodobení"
1616,effudi,(viz effundo)
1617,effugio,"utéci, uniknout, ujít něčemu	přech."
1618,effugio,"utéci, uniknout, ujít něčemu"
1619,effundo,"vtékat, rozplývat se ; tonout, topit se v něčem, utápět se v něčem ; vydávat, plodit ; rozprostřít, rozestřít ; v hojnodsti vydat, vychrlit, vysypat"
1620,effundo,"vtékat, rozplývat se ; tonout, topit se v něčem, utápět se v něčem ; vydávat, plodit ; rozprostřít, rozestřít ; v hojnosti vydat, vychrlit, vysypat"
1621,effundo,"vylévat, vysypávat, rozlévat ; vylévat se (i z břehů), vytékat ; vysypat, vypustit ; shodit (o koni) ; rozházet, promarnit, prohýřit ; rozptýlit, rozházet, rozmetat, rozprášit ; rozpustit, rozvolnit, uvolnit, rozplést"
1622,Egelredus,"Aethelred (De antiquitate Glastoniae ecclesie, trad. Scott, 131)	antroponym."
1623,egestas,"nuznost, chudoba"
1624,egredior,"vykročit, vytáhnout"
1625,egredior,"vykročit, vytáhnout, vylodit se"
1626,egredior,"vystoupit, vykročit, vytáhnout"
1627,egregius,obzvláštní
1628,egregius,"výtečný, znamenitý, výborný"
1629,eicio,"vyhodit, vyhnat, vyloučit, vypudit"
1630,eiusmodi,"takový, podobný [Přímo nenal. v Šenkové ani Pražákovi. Pod eiusdemmodi právě takový, téhož způsobu. Toto vypsáno z Vulgáty.]	indekl.?"
1631,elatio,"pýcha ; zvedání, pozvedání"
1632,eleemosyna,"almužna (darování i darovaná věc), dar, dobrodiní	užíváno zejm. v pl."
1633,eleemosynas facere,dávat almužny
1634,elemonia,"almužna (darování i darovaná věc), dar, dobrodiní	užíváno zejm. v pl."
1635,elemosyna,"almužna (darování i darovaná věc), dar, dobrodiní	užíváno zejm. v pl."
1636,elevatio,pozdvihování
1637,elevatio,"vyzvednutí ostatku ze země (tak Snoek, Medieval Piety, 16!)"
1638,elicio,"vyloudit, vylákat"
1639,emitto,pustit
1640,emitto,"pustit, vypustit"
1641,emo,"kupovat, koupit, za peníze brát (od koho: ab alquo) ; vykoupit, zakoupit, koupí získat"
1642,en,(střv.) (jihofr.) (člen užívaný někdy před mužskými jmény)
1643,enim,"přece, vždyť	DZ"
1644,enim,"vždyť, totiž"
1645,enim,"vždyť, totiž, neboť ; zajisté, ovšem, jistě, opravdu, vskutku, skutečně ; někdy též výplňkové slovo, které se obvykle nepřekládá"
1646,ens inquantum ens,jsoucno jakožto jsoucno
1647,ens,"jsoucno, jsoucí"
1648,enuntio,prozradit
1649,eo,tam
1650,eo quod,"protože	Cicero ; Ez 35,5"
1651,eo sibi minus dubitationis dari,že tím méně přichází do rozpaků
1652,eodem,"tamtéž, na totéž místo"
1653,ephippium,"sedlo, čabraka"
1654,Epirus,Épeiros (dnešní Albánie)
1655,episcopus,biskup
1656,eptaticum,"Heptateuch (pět knih Mojžíšových, Jozue a Soudců) (Regula Benedicti, 215)"
1657,epulae,hostina
1658,equester,jezdecký
1659,equus,(form. aequus)
1660,er,(form. aer)	LMALB I:91 uvádí tvar eris
1661,erba,(form. herba)
1662,eremita,poustevník
1663,erigo,zvednout se
1664,erigo,"vztyčovat, vzpřimovat, vyvyšovat, postavit, do výše zdvíhat ; vztyčit, vystavět, zbudovat, postavit ; vzmužit, povznést, vzpružit, povzbudit"
1665,eripio,osvobodit se
1666,eripio,"vzít, odnést, uchvátit"
1667,eripio,"vzít, odnést, uchvátit, osvobodit"
1668,eris,(form. aeris)	LMALB I:91
1669,error,blud
1670,error,"blud, bludné učení ; omyl, mýlka, klam ; kolísání, nejistota, váhání, pochybnost, nerozhodnost ; zabloudění ; bloudění, těkání, toulání, bludné cesty ; klam, podvod ; zaslepenost ; pobloudění, pochybení, poklesek, chyba, nedopatření	Pražák a LMALB"
1671,error,"chyba, vada ; chyba (při opakování přísahy po předříkávajícími)	práv."
1672,eructo,"říhat, krkat ; vyvrhovat něco, vrhnout ; vyrážet (slova), pronášet"
1673,esca,"jídlo, potrava"
1674,esca,potrava
1675,esse,bytí
1676,essedarius,"vozní bojovník, bojovník na dvoukolových vozech"
1677,essedum,válečný dvojkolový vozík
1678,essentia,"bytnost, esence"
1679,estas,léto (neklas. pravopis)
1680,et,"a (zejm. slučovací spojka, ale i odporovací) ; a to (připojuje logicky nesouřadný člen: ""jeden, a to velmi podivný zvyk"") ; i, také (adverbium se stupňovacím významem: ""et dona ferentes"", zejm. v pozdější latině)"
1681,et hoc ideo,"a to proto??? (RS 43:10 ; spíš ""tudíž"", toto je zřejmě chybný výklad ; jinak RS 43:9, kde to je opravdu ""a to proto, že"")"
1682,et hoc ideo quia,"a to proto, že	RS 43"
1683,et hoc quia,"a to proto, že	DZ ex Fournier I, 81"
1684,etenim,"a opravdu, a věru, vždyť také, vždyť přece"
1685,etiam,"(někdy výplňkové slovo, které není nutné překládat, viz např. RS 52:2)"
1686,etiam,ani ne... (v záporných větách)
1687,etiam,"také již, také hned ; již, a to již, a to hned (v otázkách zastupujících rozkaz, např. tak budeš už zticha?)"
1688,etiam,"též, také, rovněž, dále, kromě toho, k tomu (přiřazení nového pojmu) ; také, ještě, ještě k tomu ; ještě, ještě stále, (v záporu) ještě ne, ještě pořád ne ; ještě, ještě jednou"
1689,etsi,ačkoliv
1690,euangeliarium,"evangelistář (obsahuje perikopy z evangelií ; jiné je evangeliář, tj. kniha 4 evangelií)	LMALB správně uvádí evangelistář"
1691,euangelium,"evangelium ; evangelium, radostná zvěst, dobrá zvěst ; evangelium (Kristovo učení, křesťanství) ; kázání ; evangeliář (LMALB uvádí! pozn.: jiné je evangelistář) ; (kterákoli kniha Nového zákona) ; čtení z evangelia, perikopa z evangelia	LMALB"
1692,eufortunium,štěstí
1693,eulogia,"dar, dárek (v šir. smyslu ; spec. pro dar biskupovi od kněze na znamení úcty a též pro dárek věřících biskupovi či arcijáhnovi u příležitosti synodu)"
1694,eulogia,"požehnaný chléb, svěcený chléb (rozdávaný na konci mše, odlišný od eucharistie ; zejm. zbylý, nekonsekrovaný)	MLLM ; Pražák nic"
1695,Evangelium Lucae n.,"Lukášovo evangelium, evangelium podle Lukáše"
1696,evangelium,evangelium
1697,evello,"vyrvat, vytrhnout, vyškubnout"
1698,evenio,"dopadnout, připadnout"
1699,eventus,"nezdar, katastrofa"
1700,eventus,"událost, výsledek, nezdar, katastrofa"
1701,everto,"vyvracet, vyvrátit ; rozvířit, zčeřit ; převrhnout, překotit, skácet, povalit ; rozvrátit, podkopat, zničit ; k pádu přivést, přivést na mizinu"
1702,evito,"vyhnout se čemu, uniknout čemu, uchránit se čeho, vyvarovat se čeho"
1703,evoco,"předvolat, povolat"
1704,evoco,"vybízet, vyvolávala"
1705,evolo,"(ex alqa re) vyletět odkud / z čeho ; vzlétnout, vylétnout ; (o rychlém pohybu) vylétnout, vypadnout ; vyřítit se, vyrazit ; povznést se, pozvednout se ; (ex alqa re) ujít, uniknout čemu"
1706,ex,kvůli	tak zřejmě RS 55:11
1707,ex,"kvůli, podle (TDH 311:28, částečně se i dobře shoduje s jedním bodem v Pražákovi)"
1708,ex,"vzhledem k, dle, podle, po, z, ze, s přihlédnutím k (podle zvyku apod.) ; od (o čase, označení začátku či trvání) ; jakmile (označení rychlého sledu dvou akcí: po nedostatku přišla hojnost) ; z, ze (o látce hmotné i abstraktní)	1"
1709,ex,"z, mezi (označení celku či části, k němuž část přísluší) ; na, z (označení příčinnosti, původu, důvodu, podnětu, podmínky: narodit se z koho, záviset na kom apod.) ; podle čeho ; pro něco, kvůli něčemu (přezdívat komu jak apod.)	2"
1710,ex,"z, ze (o ději z nitra věci či osoby vycházející) ; z, ze, s, se (východisko pohybu směrem dolů či nahoru, např. s nebe) ; z, ze (z roviny se tyčící) ; z, ze (východisko či stanovisko) ; z, ze (označení původu či vlasti)	3"
1711,ex agris,z venkova
1712,ex communi consensu,podle všeobecného snesení
1713,ex diverso,"od nepřátel, u nepřátel, z nepřátelského tábora"
1714,ex eo tempore,od toho času
1715,ex itinere,hned za pochodu
1716,ex nihilo,z ničeho
1717,ex quo,"jakmile, když [zřejmě jen střv. latina]"
1718,ex traduce,"plozením (pojem traducianismu, který učil, že lidské duše pocházejí ex traduce z duše Adama a Evy)	takto přel. RS 58:8"
1719,ex tunc,"od té doby	DZ ex Fournier I, 166"
1720,ex usu,k prospěchu
1721,ex-,"(předpona ; znamená pohyb z nitra ; změnu, při níž původní vlastnost mizí ; nedostatek čeho ; konec činnosti ; dovršení činnosti"
1722,exactor,výběrčí
1723,exagito,"pronásledovat, lovit, štvát, znepokojovat, týrat, trápit"
1724,exalbo,bělit (prádlo)
1725,examinare se taxo,otrávit se šťávou z tisu
1726,examino,"zkoušet, zkoumat, [zhodnotit (DZ)] ; odvažovat, vážit"
1727,exanimo,"zbavit života, usmrtit"
1728,exaudio,"přesně slyšet, vyslyšet, poslouchat"
1729,excecatus,"zaslepený, oslepený	klas. excaecatus"
1730,excedo,"vystěhovat se, odejít"
1731,excedo,"vzdálit se, odejít"
1732,excello,"vynikat, předčit, převyšovat"
1733,excelsus,"vyvýšený, vysoký"
1734,excepto,"(abl.) mimo koho, kromě koho	DZ ex BosHum 142"
1735,excipio,zachytit
1736,excipio,odolávat
1737,excipio,"zachytit, pochytit, chytit"
1738,excludo,"zdržovat, bránit"
1739,excommunicatio,vyobcování ; exkomunikace	DZ
1740,excommunico,"exkomunikovat, vyloučit z církevního společenství"
1741,excruciatus,mučený
1742,excrucio,"mučit, trápit, trýznit"
1743,excusatio,omluva
1744,excuso,"omlouvat, ospravedlňovat ; uvádět co na omluvu, vymlouvat se na co, ospravedlňovat se ; zbavit se čeho, být zproštěn čeho, být ušetřen čeho"
1745,excuso,omluvit se
1746,excussum,viz excutio
1747,excutio,"vytřásat, střásat ; shodit, vyrazit (z ruky), vyhodit, vystřelit, vymrštit ; zapudit, zahnat, odehnat, vyhnat ; vyloudit, vyvolat ; roztřásat (třesením rozvinovat ; prohledávat, prošťourávat, prozkoumávat ; rozvinout"
1748,executio,"exekuce	Fournier I, 299"
1749,exeo,"vyjít, odejít ; uniknout ; vypršet ; uplynout"
1750,exequor,"plnit, dosáhnout něčeho"
1751,exerceo,"cvičit ; provozovat, konat, vykonávat co, zabývat se čím, pěstovat co, zacházet s čím"
1752,exerceo,vycvičit se
1753,exerceo,"zčeřit, zvířit, vzdouvat ; uvádět v pohyb ; orat, obdělávat ; prohánět, honit ; zaměstnávat koho čím, dávat práci komu ; znepokojovat, sužovat, trápit, trýznit"
1754,exercitatio,"obratnost, cvičení"
1755,exercitatio,"vytrvalé cvičení, cvik, výcvik"
1756,exigua parte aestatis reliqua,na sklonku léta
1757,exiguitas,"malý rozměr, skromnost"
1758,exiguus,nepatrný
1759,exire ex corpore,vyjít z těla
1760,existentia,"existence, bytí"
1761,existi,vyšel jsi (od exeo)
1762,existimatio,"hodnocení, mínění, úsudek, víra, vážnost, dobrá pověst"
1763,existimo,"domnívat se, myslit"
1764,existimo,"oceňovat, hodnotit ; posuzovat, soudit o čem co ; domnívat se, myslit, mínit, soudit ; pokládat (co za co)"
1765,existo,"(Dle Pražák I, 520 starší způsob psaní slova exsisto)"
1766,exitus,"konec, zakončení, výsledek"
1767,exitus,"výběžek??? (Niquinta, ed. Šanjek, 777 se to velmi hodí pro výběžek území, ale nenal. ani v LMALB)"
1768,exitus,"východ, přístupová cesta ; vojenská výprava ; vývozní clo ; potomstvo, potomci, potomek ; výdaje, náklady, útraty, výlohy ; zisk, příjem, důchod? (MLLM fr. revenu - angl. revenue)	MLLM nic víc"
1769,exitus,"vyjití, vycházka ; možnost vycházení, možnost vyjití ; východ (místo, kudy se vychází) ; konec, zakončení ; výsledek, cíl ; smrt, zánik, skonání, konec života, záhuba ; exodus, vyjití (Izraelitů z Egypta) ; hraniční přechod ; strouha, koryto ; tok	Pražák a LMALB"
1770,exitus,výtok ; porod ; stolice (lék.) ; výhřez konečníku
1771,exlego,postavit mimo zákon
