id,czech_word,english_translation
1313,nemovitý majetek,immovable/real property/ estate
1314,němý,"dumb, mute"
1315,neobydlený,"uninhabited, desert"
1316,neplatnost,"nonvalidity (invalidity), nullity, see also anulace"
1317,neplatnost manželství,see manželství
1318,neplatný,"invalid, null"
1319,neplnoletost,minority (age)
1320,nepříčetný,"insane, lunatic"
1321,nepřítel,"enemy, foe"
1322,nerovnorodý sňatek,see mesaliance
1323,nesmrtelný,immortal
1324,nesouhlas,"disagreement, disapproval, disapproba- tion, dissent"
1325,neštěstí,"unhappiness, misfortune, disaster, calamity"
1326,neštovice větrné,see neštovice plané
1327,neť,see neteř (hist.)
1328,neúroda,"crop failure, poor crop"
1329,nevěra,infidelity
1330,nevěsta,bride
1331,nastávající nevěsta,bride-to-be
1332,nevina,innocence
1333,nevláda,see ochrnutí
1334,nevlastní,adj. step- (e.g. stepfather)
1335,nevolnictví,"villeinage, serfdom, serfhood, serfage"
1336,zrušení nevolnictví,abolition of serfdom (1781)
1337,nezaměstnaný,"unemployed, workless, jobless"
1338,být nezaměstnaný,to be out of work
1339,nezávislost,independence
1340,nezletilec,"minor, under age, not of age"
1341,neženatý,adj. unmarried/single man
1342,niva,mead
1343,nobilita,see šlechta
1344,nobilitace,"nobilitation, see also povýšení do šlechtického stavu"
1345,nobilitační falsum,forgery of letters of nobilitati
1346,nobilitační listina,letters of nobilitation/ennoble- ment84
1347,noc,night
1348,noční dušení,see dušnost
1349,noma,see snět měkkých tkání ústních
1350,nosit,to carry
1351,nosit dítě pod srdcem,"(=,,to carry child under the heart"") to be with child"
1352,notariát,notary
1353,veřejný notariát,public notary (an office)
1354,notář,notary (public)
1355,veřejný notář,public notary (a person)
1356,notářský,notarial (e.g. document)
1357,notářský instrument,notarial instrument (dipl.)
1358,notářský opis,see opis
1359,notářství,"notaryship, notary's office"
1360,noty,notes
1361,novoluní,"new moon, see also nový měsíc"
1362,novomanžel,newly-married man
1363,Nro. Cons.,"[=,,numerus conscriptionis""] see číslo domu"
1364,numismatik,numismatist
1365,numismatika,(also numizmatika) numismatics
1366,numismatický,numismatical
1367,nunciatura,nunciature (rel.)
1368,nuncius,"nuncio (apostolic delegate)(rel.), see also legate"
1369,nunvář,see miškař
1370,nůše,basket
1371,nuzný,"needy, destitute, penurious"
1372,nynějšek,the present
1373,nynější,adj. present
1374,nyní,"now, nowadays, at present"
1375,obálka,envelope
1376,obcování,intercourse
1377,obcovat,1. to associate with 2. to have inter-course
1378,občanka,"citizen, burgher (female)"
1379,občanský,civil
1380,státní občanství,state citizenship (administration) 3. locality
1381,místní obec,locality
1382,obecné figury,charges (heral.)
1383,obecní úřad,"municipal corporation; local administration office, local board"
1384,oběť,victim
1385,oběživo,"(literally money in circulation) coinage, currency"
1386,oběžník,circular
1387,obhájce,"advocate, attomey"
1388,obchod s prádlem,hosiery
1389,směnný obchod,barter
1390,obchodní,"adj. bussiness, commerce, trade, co- mmercial"
1391,obchodní cestující,commercial traveller/traveling salesman
1392,obchodní oprávnění,trading license
1393,podomní obchodnice,"hawker (female), see also kramářka"
1394,obnos,amount
1395,Obnovené zřízení zemské,Renewed Provincial (Land) Ordinance85
1396,obora,"game-park, deer-park, game-preserve"
1397,obrácení,conversion (to Christianity)
1398,Obrácení Magdaleny,Conversion ofMagdalene (March 23 in the Prague diocese)
1399,Obrácení sv. Pavla,Conversion of St. Paul (January 25)
1400,obraz,picture
1401,obrna,"palsy, paralysis (med.)"
1402,obrna dětská akutní,poliomyelitis (med.)
1403,obrna míšní,myeloplegia (med.)
1404,obrna poloviny těla,hemiplegia (med.)
1405,obrok,fodder
1406,obrozenec,revivalist
1407,obrození,"renascence, revival"
1408,české národní obrození,Czech National Revival86
1409,obřad,"ceremonial, ceremony"
1410,korunovační obřad,coronation ceremony
1411,mešní obřad,Mass ceremony
1412,pohřební obřady,funeral rites
1413,svatební obřad,"wedding ceremony, marriage ceremony, nuptials, the Rite of Marriage (rel.), bridal, marriage service"
1414,obřezání,see obřízka
1415,Obřezání božího,see obřezání Páně Obřezání Páně Feast ofthe Circumcision (January 1)
1416,obvěnění,see věno and svatební dar
1417,obyčej,custom
1418,obyvatel,"1. inhabitant , dweller (male) 2. occu- pier (male)"
1419,obyvatelka,"1. inhabitant, dweller (female)"
1420,octář,vinegar-maker
1421,Očišťování Panny Marie,"the Purification, Presentation of Our Lady/the Blessed Virgin Mary, Candlemass (February 2)"
1422,očkování,vaccination
1423,odbíračka,see hnisavý zánět podkožní tkáně
1424,odboj,resistance (during a war)
1425,odbojný,rebellious
1426,odborník,"specialist, professional, expert"
1427,odbory,trade union
1428,oddací,acfj. marriage
1429,oddací matrika,see matrika oddaných
1430,oddaný,wedded
1431,oddávací,acfj. wedding
1432,oddávat,1. to marry 2. to give (man to woman) in matrimony
1433,oddavky,see sňatek
1434,jízdní oddíl,squadron
1435,odejít na výměnek,to retire
1436,odesílatel,sender
1437,oděv,"dress, garments, clothes"
1438,oděvník,"outfitter, clothier"
1439,odevzdat svou duši všemohoucímu Bohu,to commit/deliver one's soul up to Almighty God
1440,odevzdat spravedlnosti,to hand over a person to justice
1441,odhadovat,to estimate
1442,odchod do ústraní,recess
1443,odchovanec,pupil (of a school)
1445,vzájemný odkaz,1. cross-reference (lib.)
1446,odkázat,"1. to bequeathe, to will, to devise"
1447,odpadlík,apostate
1448,odplata,see msta
1449,odpočinek,I. rest 2. retirement
1450,odpočívat,to rest
1451,odpočívej v pokoji!,rest in peace!
1452,odstoupit,"to resign, to renounce, to abandon"
1453,odstupné,compensation (in money)
1454,odsun,"transfer, evacuation"
1455,odškodné,"damages, indemnity, compensation"
1456,odvolací,appellate
1457,odvolatel,appellant
1458,ofěra,offertory (rel.)
1459,oheň svatého Antonína,see snět
1460,ohlášky,banns (of matrimony/marriage)
1461,mít ohlášky,to ask/publish/put
1462,trojí ohláška mezi službami božími,three banns between the divine services (hist.)
1463,politický okres,"(=,,political district"") state administration district"
1464,okresní,adj. district
1465,okresní hejtmanství,see hejtmanství
1466,okresní soud,district court
1467,okrsek,"district, police ward"
1468,okulární visitace,"„ocular inspection"""
1469,olověný,adj. lead
1470,oltář,altar
1471,oltářník,chantry priest
1472,omítkář,plasterer
1473,omladce,see komplikace v šestinedělí
1474,onemocnět,to fall ill/sick
1475,opar pásový,herpes zoster (med.)
1476,opat,abbot90
1477,opilec,drunkard
1478,opilství,drinking
1479,opozice,opposition
1480,oprátka,noose
1481,opuchlina,see otok
1482,opustit,"1. to leave 2. to desert, to abandon, to forsake"
1483,oráč,ploughman/plowman
1484,Přemysl Oráč,Přemysl the Ploughman/Plowman91
1485,orba,ploughing/plowing
1486,ordinace,"1. ordination 2. surgery, consulting room"
1487,ordinář,ordinary (official) (rel.)
1488,ortel,"see (soudní) verdikt, condemnation"
1489,ořech,nut
1490,osada,settlement
1491,osel,donkey
1492,oset,see sít
1493,osetí,see osev
1494,osev,"sowing, seed"
1495,osidla,"toils, see also tenata"
1496,osoba,person
1497,osoba bez příbuzenského vztahu,person not evidently related (dem.)
1498,politicky kompromitovaná osoba,politically compromised person
1499,osobní,personal
1500,osobní doklady,documents
1501,osobní jméno,see jméno
1502,osobní nahlédnutí,personal inspection
1503,osobní průkaz,identity card
1504,osobnost,personality
1505,osud,"fate, destiny"
1506,osutiny,see zarděnky and spalničky
1507,osutina,see vyrážka
1508,osvoboditel,liberator
1509,osvojitel,see adoptivní otec
1510,osvojitelka,see adoptivní matka
1511,osypky,"see spalničky and neštovice plané, also measles"
1512,osypky černé,see neštovice pravé
1513,ošetřovatel,attendant
1514,ošetřovatelka,nurse
1515,otcovská moc,patemal authority
1516,otcovství,patemity
1517,otčím,step-father
1518,otčímský,step-fatherly
1519,otčina,see vlast
1520,důstojný otec,Reverend Father (title of Catholic priest)
1521,Svatý Otec,see svatý
1522,z otcovy strany,on the patemal side
1523,otěhotnění,impregnation
1524,otěhotnět,"to come with child, to get pregnant"
1525,otep,"bundle, faggot"
1526,otok,"swelling, edema (med.)"
1527,otok plic,edema oflungs (med.)
1528,otok vzdušný,see rozedma plic
1529,otrava,"poisoning, intoxication"
1530,otrava alkoholem,alcohol poisoning
1531,otrava houbami,poisoning from mushrooms
1532,otřes mozku a míchy,concussion ofbrain and spinal cord (med.)
1533,ovce,sheep
1534,ovčák,sheperd
1535,ověřený výtah z listiny,estreat (of a document)
1536,ověřit (notářsky),notarize
1537,ovoce,fruit
1538,pacholátko,little boy or girl (hist.)
1539,pachole,see pacholátko (hist.)
1540,pacholík,little boy
1541,pacht,"tenancy, tenure, lease"
1542,pachtovat,see propachtovat
1543,pachtýř,"tenant(-farmer), renter, lease-holder"
1544,pakostnice,see dna
1545,pakt,pact (treaty)
1546,pod palbou,under fire
1547,palcát,mace
1548,český palec,"Bohemian inch (= 1/24 of Bohemian ell = 2,47 cm)"
1549,moravský palec,"Moravian inch (= 2,475 cm)"
1550,vídeňský palec,"Viennese inch (= 2,634 cm)"
1551,paleografický rozbor,paleographical analysis
1552,paleografie,paleography 93
1553,památka,memorial
1554,pamatovat,remember
1555,paměti,memoirs
1556,pamětihodnost,"memorability, sight"
1557,pamětihodný,memorable
1558,pamětní,memorial
1559,pamflet,pamphlet
1560,pan,Mr.
1561,buď mu Pánbůh milostiv,the Lord have mercy upon him
1562,Pán,the Lord
1563,Pánbůh,the Lord
1564,Panna Marie,"the Virgin Mary, Our Lady"
1565,blahoslavená Panna Marie,the Blessed Virgin Mary
1566,na panském,on landlorďs (e.g. ground)
1567,panslavismus,panslavism (Pan-Slavism)
1568,panství,"1. dominion, domain, estate, demesne"
1569,panstvo,nobility
1570,papežský,"papal, pontifical"
1571,papežská bula,papal bull
1572,papežská neomylnost,infallibility ofthe Pope
1573,papír,paper
1574,paralýza,paralysis
1575,paratyf,"typhus, paratyphoid fever"
1576,parchant,see bastard
1577,parník,see parní loď
1578,paroplavební společnost,steamship company
1579,pas,"pass, passport"
1580,vydat pas,to issue a passport
1581,pasák koz,goatherd
1582,pasionál,passional
1583,pasovat (na rytíře),"to accolade/to knight a person, see also nobilitovat and povýšit do šlechtického stavu"
1584,pastevec,see pasák
1585,pastor,pastor
1586,pastorek,step-son (hist.)
1587,pastorkyně,step-daughter (hist.)
1588,pastouška,1. village poorhouse (hist.)
1589,pastucha,see pasák 1.
1590,pastýř,shepherd (sheep) (male)
1591,pastýřka,shepherd (sheep) (female)
1592,pastýřský,1. pastora! 2. shepherďs
1593,Patent o zrušení nevolnictví,the Letters Patent of Abolishing of Serfdom97
1594,patrola,patrol
1595,patron,patron saint
1596,patrocinium,consecration (to a certain saint)
1597,patřit,to belong to
1598,paulán,Minim
1599,pazderník,flax-braker (a person)
1600,pazdeří,tow
1601,páže,page ( a person)
1602,pažit1. turf,2. see půda
1603,vysoká pec,blast fumace
1604,pečeť,seal
1605,kulatá pečeť,round seal
1606,pečeťpod papírovým krytem,papered seal (sigil.)
1607,pečetní prsten,see prsten
1608,pečetní vosk,sealing-wax
1609,pečovat,to care for
1610,penále,see pokuta
1611,peníze,money
1612,penzista,"pensioner, annuitant, senior citizen, reti- red"
1613,penzistka,woman pensioner
1614,pergamen,"parchment, vellum"
1615,pergamenový proužek,leather tag (of seal)(sigil.)
1616,periodikum,periodical
1617,perleťář,pearl-maker
1618,perzekuce,see pronásledování
1619,peřina,"continental quilt (a sack stuffed with fea- thers), duvet"
1620,pěstoun,"foster-father/foster-parent, guardian"
1621,pěstounka,foster-mother
1622,pěstovat,to cultivate
1623,pěší,aqj. pedestrian
1624,pěší robota,see robota
1625,pěšina,"path, pathway"
1626,peteče,see skvrnivka epidemicka and neštovice pravé
1627,petice,petition
1628,pícnina,fodder plant
1629,píchání,see zánět plic and zánět pohrudnice
1630,pijan,see opilec
1631,pilníkář,file-cutter
1632,pinta,pint (cubic measure)(metrol.)
1633,česká pinta,"Bohemian pint(= 1/48 of Bohemian korec= 1/12 of Bohemian věrtel= 4 Bohemian žejdlíks = 1,949)"
1634,písárna,writing office
1635,veřejný písař,scrivener
1636,písmák,rural popular scripturist (and often chronicler)
1637,písmeno,"letter, character"
1638,nedělní písmeno,see litera nedělní
1639,tiskové písmo,printing types
1640,písmolijec,typefounder
1641,pivovarník,"brewer, see also sládek"
1642,plac,see náměstí (hist.)
1643,plátenice,"linen-draper (female), see also obchod- ník s bílým prádlem"
1644,pláteník,"linen-darper (male), see also obchodník s bílým prádlem"
1645,platič,payer
1646,platit,to pay
1647,platit v naturáliích,see naturálie
1648,platit ve splátkách,to pay by instalments
1649,plátno,linen
1650,platnost,validity
1651,plavec,"I. rafter, raftsman see also vorař (hist.)"
1652,válcovna plechu,rolling mill
1653,plicní,pulmonary
1654,plika,plica (folding ofpaper or parchment for seal)
1655,plný,"full, all, complete"
1656,být plnoletý,"to be of age, to be a major (legal adulthood), to be of full age"
1657,plnomocník,"plenipotentiary, assignee, attomey"
1658,plnoprávný,fully-qualified
1659,plocha,"area, surface"
1660,plot,"fence, railing, hedge"
1661,pluh,plough/plow
1662,pluk,regiment
1663,dělostřelecký pluk,artillery regiment
1664,pochodový pluk,infantry regiment
1665,pocta,honour
1666,poctivý,"virtuous, honest, honour(able)99 (hist.)"
1668,počasí,weather
1669,zlatý počet,golden number (chron.)
1670,početí,conception
1671,počít,to conceive
1672,podagra,see dna
1673,poddaný k,to be subject to (e.g. demesne)
1674,poddaný,"subst. retainer, villein"
1675,pod jednou,(to receive the Holy Communion) in one kind
1676,podkrajský úřad,subregional office
1677,podnájem,"apartments, accomodation, lodging, rooms"
1678,podnebí,climate
1679,podobizna,portrait
1680,podobojí,in both kinds (Utraquist)
1681,podpalubí,berth-deck
1682,podpis,signature
1683,vlastnoruční podpis,"autograph, signature"
1684,podplukovník,lieutenant-colonel
1685,podporučík,second lieutenant/chiefwarrant offi- cer
1686,podpraporčík,warrant officer (one of several)
1687,podpůrný,supporting
1688,područí,"bondage, thrall"
1689,podsedek,1. holder of smaller than normal
1690,podzámčí,settlement around a manor house/castle
1691,podzim,autumn/fall
1692,pogrom,pogrom
1693,pohan,"heathen, pagan"
1694,pohanství,"heathenism, paganism"
1695,pohlaví,"gender, sex"
1696,pohlavní,sexual
1697,pohlavní styk,"sexual intercourse, see also koitus and soulož"
1698,pohnat,"to arraign, impeach, summon"
1699,pohodnice,knacker's yard
1700,pohodný,knacker
1701,pohraničí,"border-land, frontier regions/area"
1702,pohrobek,posthumous child (child boru after de- ath offather)
1703,pohřbení,burying
1704,pohřbít,to bury
1705,pohřbít po křest'anském způsobu,to bury with Christian rites
1706,pochod,march
1707,pochodovat,to march
1708,pochop,see biřic
1709,pochovat,to bury
1710,pochován(a),buried
1711,pochovávající kněz,burying priest
1712,pojednání,"treatment, treatise"
1713,pojmout za ženu/muže,"to take one for wife/ husband, to take one in marriage"
1714,pokrevenství,"consanguinity (blood-relationship), kindred (gen.)"
1715,pokřtěnec,see pokřtěný
1716,pokřtít,to baptize/baptise
1717,pokřtěn jest,he was baptized (hist.)
1718,pokuta,penalty
1719,polcení,"impalement, dimidiation, per pale (heral.)"
1720,polcený,impaled (heral.)
1721,policajt,"policeman (hist., today coll.)"
1722,policejní,acij. police
1723,policejní úřadovna,see policejní stanice
1724,policie,subst. police
1725,tajná policie,secret police
1726,policista,policeman
1727,tajný policista,secret policeman (G-man)
1728,pololetí,half of a year
1729,polorodý,acij. uterine (bom of the same mother but by a different father)(gen.)
1730,polounciála,halfuncial (paleog.)
1731,polovina,half
1732,v polovině století,in the middle of century
1733,polský,Polish
1734,polygrafie,"printing (pre press, press, post press)"
1735,pomazání nemocných,Holy/Extreme unction
1736,Pomazaný Páně,the Lorďs Anointed (Christ)
1737,pomocné vědy historické,auxiliary sciences of history
1738,svatodušní pondělí,"Whit Monday, Whitmonday"
1739,popálenina,subst. bum
1740,popel,ash
1741,popeličina,vair (heral.)
1742,popis,description
1743,poplatek,"tax, fee, charge, subscription"
1744,poprava oběšením,execution by hanging
1745,poprava stětím,"beheading, decollation"
1746,popravit,to execute
1747,poránu,in the moming
1748,poroba,"serfdom, enslavement, servitude, subjection, bondage"
1749,porod,"childbirth, delivery also see narození"
1750,porostlina,growth (hist.)
1751,porota,jury
1752,poručnictví,"guardianship, wardship, tutelage"
1753,poručník,guardian (male)
1754,porybný,superintendant offisheries
1755,posedlost ďáblem,diabolical obsession
1756,posel,messenger
1757,soudní posel,summoner (hist.)
1758,poselstvo,"delegation, deputation (hist.)"
1759,posetý,(= powdered) semé (heral.)
1760,poslíček,"errand boy, messenger boy"
1761,posloupnost,succession (gen.)
1762,rodová posloupnost,succession of generations in lineage
1763,poslušný,obedient
1764,posmrtný,posthumous
1765,postavit za svědka,see stát za svědka
1766,postel,bed
1767,postila,postil (rel.)
1768,postní,Lenten
1769,postní den,fasting day
1770,postní doba,"Quadragesima, the Lenten season"
1771,postoupit,"to assign, to cede"
1772,postřihovač,"shearer, cropper"
1773,posudek,"the second court oflaw, following"
1774,posvátný,"sacral, sacred"
1775,posvěcení,"consecration, sacrification"
1776,posvětit,to consecrate
1777,posypaný,see posetý
1778,pošikem,see šikmé dělení
1779,pošťák,postman/mailman
1780,poštmistr,postmaster
1781,poštovní,"postal, mail"
1782,poštovní dostavník,post-coach (hist.)
1783,poštovní razítko,postmark
1784,poštovní tajemství,secrecy ofthe post/mail
1785,poštovní úřad,see pošta
1786,poštovní známka,postage stamp
1787,potah,"horse-span, ox-span, horse-team, ox-team"
1788,potence,potency
1789,potomstvo,"issue, offspring, progeny, posterity"
1790,potrat,"abortion, stillbirth"
1791,samovolnýpotrat,"miscarriage, spontaneous abortion"
1792,umělý potrat,intentional abortion
1793,poustevnice,"anchoress, ancress"
1794,poustevník,"hermit, eremite, anchoret, anchorite"
1795,pouštění žilou,blood-letting
1796,poutník,pilgrim
1797,pouť,"1. pilgrimage 2. fair, wake"
1798,poválečný,post-war
1799,pověra,superstition
1800,pověst,"1. legend, tale 2. reputation"
1801,povijan,binder
1802,povinnost,"duty, obligation"
1803,branná povinnost,"conscription, see also"
1804,povít,to give birth to (hist.)
1805,povolání,"occupation, profession"
1806,povolat,"to call up (for military service, etc.)"
1807,povolení,"permission, dispensation (also warrant, grant, accordance, concession, license, appropriation, release)"
1808,povolit,"to permit, to grant permission"
1809,Povýšení sv. Kříže,Exaltation of the Holy Cross (September 14)
1810,později,later
1811,pozemek,"ground, land, piece of land, plot, demesne"
1812,pozůstalost,"testator's estate, hereditaments, inheri tance, also see dědictví"
1813,pozůstalá vdova,remained widow
1814,pozůstalý vdovec,remained widower
1815,pra-,greatgrand- (e.g. pravnuk= greatgrandson)
1816,pracovní,aqj. work(ing)
1817,pracovní smlouva,contract of service
1818,pradlena,"laundress, washer (female)"
1819,ložní prádlo,bedclothes
1820,Pragmatická sankce,the Pragmatic Sanction106
1821,prachárna,powder-magazine
1822,práchnivost,see svrab
1823,prám,1. raft2. ferry
1824,pranýř,pillory
1825,praobyvatel,"autochthon, aboriginal"
1826,praporec,pennon
1827,prapra-,great greatgrand
1828,prapředek,forefather
1829,prarodiče,grandparents (= greatparents)
1830,pravidlo,rule
1831,právní,"adj. legal, law"
1832,církevní právo,see kanonický
1833,civilní právo,Civil Law
1834,domovské právo,right of domicile (residence qualification)
1835,stanné právo,martial law
1836,vlastnické právo,proprietory right (ownership)
1837,vším právem,by rights
1838,vydržené právo,prescriptive right
1839,pravoslavná církev,the Orthodox Church
1840,pravost,see authenticity
1841,privilegium,1. privilege 2. liberty (free of duty)
1842,probant,see střen
1843,proces,"process, see also přelíčení"
1844,soudní proces,see soudní pře
1845,procesionál,processional
1846,proclít,to clear goods
1847,prodavač,"shop assistant, (store) salesman"
1848,prodavačka,"shop assistant, (store) saleswoman, shopgirl"
1849,proděkan,sub-/assistent dean
1850,věčná profese,see věčné sliby
1851,profesor,1. professor 2. master/mistress (school)
1852,řádný profesor,ordinarius
1853,prohlášení,"declaration, avowal, vote, protestation, profession, confession, pronouncement, statement"
1854,prohlášky,see ohlášky
1855,proletář,subst. proletarian
1856,proletářský,acij. proletarian
1857,proměňování,Consecration (transubstantiation)
1858,prominent,prominent person (VIP)
1859,promoce,"graduation ceremony, degree ceremony, congregation, commencement"
1860,propadnout hrdlem,to forfeit one's life
1861,propachtovat,to rent (hist.)
1862,propouštěcí list,see list
1863,prorektor,deputy vicechancellor
1864,proroctví,prophecy
1865,prosba,"request, demand, petition"
1866,prosinec,December
1867,prosit Boha o pomoc,to pray to God for help
1868,proso,millet
1869,prošacování,see šacunk
1870,prošacovat,see šacovat
1871,Protektorát Čechy a Morava,Protectorate ofBohemia and Moravia109
1872,protestant,Protestant
1873,protistátní,treasonous
1874,protokol,"1. record, process verbal, transcript 2. memorandum	3. protocol"
1875,podací protokol,1. incoming mail book
1876,radní protokol,registry of town counsel
1877,protonotář,protonotary
1878,provazec,1. fathom (length measure)(metrol.)
1879,český provazec,"Bohemian fathom (= 52 Bohemian ells = 30,820 m)"
1880,čtvereční provazec,square fathom (square measure)
1881,provázek,see šňůra
1882,provazník,roper
1883,provinilec,"offender, transgressor, delinquent"
1884,prozatímní vláda,interim goverment
1885,prsten,ring
1886,prstolavosť,see malomocenství
1887,prstýnkář,ring-vendor
1888,průba,"probe (of the noble lineage)(gen., hist.)"
1889,průkaz,"certificate, card"
1890,řidičský průkaz,driving licence
1891,průpis,(handwritten) carbon copy
1892,Prusko,Prussia
1893,prut,lenght measure (metro!.)
1894,český prut,Bohemian prut(= 16 Bohemian feet)
1895,čtvereční český prut,Bohemian square prut(= 5 jitros = 25 square fathoms)
1896,prým prsní,see angina pectoris (hist.)
1897,přadlena,spinner (female)
1898,soudní pře,"lawsuit, trial"
1899,přečin,misdeed
1900,předák,foreman
1901,přímý předek,direct/lineal ascendant (gen.)
1902,předmanželské těhotenství,premarital pregnancy
1903,předmanželský styk,premarital sexual intercourse
1904,předmětové třídění,subject heading
1905,předmluva,preface
1906,přednášející,lecturer
1907,přednášet,"to give lectures, to lecture"
1908,přednáška,lecture
1909,předseda,chairman
1910,předsednictvo,presidium
1911,předválečný,pre-war
1912,předvečer,"night before some feast, see also vigilie"
1913,Přemyslovci,"the Přemyslids, the Przemyslids"
1914,přenešení,translation (of relics)
1915,popřeslici,on the distaff-side (on the female line)
1916,přesnice,see pascha
1917,přespolní,non-resident person (esp. in countryside)
1918,převýchova,re-education
1919,přezdívka,nickname
1920,přezkoumat,"1. to check up, to review, to revise"
1921,příbytek,"1. abode, home, residence (hist.)"
1922,příbuzenský,"of a relative, between relatives"
1923,příbuzenský poměr,family connection
1924,příbuznost,"affinity, relationship"
1925,duchovní příbuznost,spiritual relationship (reached only by baptism and confirmation)
1926,přímý příbuzný,lineal relative112
1927,přicestovat,to arrive in/at
1928,přidavač,"hod carrier, hodman"
1929,příděl,ration
1930,přídělový systém,rationing scheme
1931,přifařit,to incorporate in the same parish
1932,přihláška,1. application (for membership)
1933,přihlašovací lístek,police registration form
1934,příhoda,incident
1935,přijímající,partaker (ofthe Holy Communion)
1936,přijímat pod jednou (způsobou),to partake in one kind
1937,přijímat pod obojí (způsobou),to partake in both kinds
1938,přijít na svět,to come into the world
1939,přijít o život,to lose one's life
1940,přijít pod čepec,to go up the aisle (i. e. to get married)
1941,příjmení,sumame
1942,složené příjmení,compound sumame
1943,přilbice,see přilba
1944,příloha,"supplement, appendix"
1945,příměří,"armistice, truce"
1946,přímluvce,intercessor
1947,přímorky,see mor
1948,přímá linie,descent
1949,přímá ženská linie,direct female branch/line
1950,přináležející,appurtenant (thing)
1951,připovědět,see slíbit (hist.)
1952,přípravka,sixth-fom college/prep school
1953,přípřež,see potah
1954,příručka,"handbook, manual"
1955,statistická příručka,statistical yearbook/annual
1956,přísahat,to swear
1957,přísežný,swom
1958,přísežná výpověď,affidavit
1959,přísežné prohlášení,"declaration under oath, statutory declaration"
1960,příslib,see slib
1961,přístavba,extension (of a building)
1962,přistěhovalec,immigrant
1963,přistěhovalecký úřad,immigration office
1964,přistěhovalecký úředník,immigration officer
1965,příští,"next, following"
1966,příštího roku,next year
1967,příštipkář,cobbler
1968,přítel1. friend,2. see příbuzný (hist.)
1969,krevní přítel,"(=,,blood ftiend"") consanguineous relative (hist.)"
1970,při přítomnosti,in presence
1971,u přítomnosti,see při přítomnosti
1972,v přítomnosti,see při přítomnosti
1973,přítomný,present
1974,příušnice,mumps
1975,přivést na žebrotu,to reduce a person to beggary
1976,přivést ženu do jiného stavu,to get a woman with child
1977,přívoz,ferry
1978,přiznání (daňové),"(tax) retum, also see fasse"
1979,přízvisko,see přezdívka
1980,psací,adj. writing
1981,psací náčiní,writing materials
1982,psací stroj,typewriter
1983,psanec,outlaw
1984,psaný vlastní rukou,"in one's own hand, see also"
1985,psaný vlastnoručně,see psaný vlastní rukou
1986,ručně psaný,hand-written
1987,psotník srdeční,see vmetek
1988,půlláník,peasant owning one half of lán (hide of land)
1989,purkmistr,burgomaster (hist.)
1990,purkrabí,see purkrabě
1991,putna,1. tub 2. hod
1992,putování,"wanderings, travels"
1993,ptivod ,1. provenance 2. origin 3. source 4. descent (gen.) 5. lineage (gen.) 6. parentage (gen.)
1994,pych,"trespass (on forest, field or fisheries) involving damage or theft"
1995,pytláctví,poaching
1996,pytlák,poacher
1997,rabín,rabbi
1998,rabínský,"rabbinic, rabbinical"
1999,cilman,counsel
2000,Československá národní rada,Czechoslovak National Council115
2001,radnice,"town hall, city hall"
2002,rafinérie,refinery
2003,rak černětní,see nádor zhoubný kůže (hist.)
2004,rakev,"coffin, casket"
2005,Rakousko,Austria
2006,Rakousko-Uhersko,Austria-Hungary
2007,Rakousko-uherská monarchie,Austria-Hungari- an Monarchy
2008,rakovina,see nádor zhoubný
2009,rakovina pobřišnice,cancer of peritoneum
2010,rakovina žaludku,cancer of stomach
2011,rakušáctvi,"Austrophile attitude (coll., hist.)"
2012,rána smrtelná,death-blow
2013,rána střelná,gun-shot
2014,raněný,wounded
2015,ranhojič,(field) surgeon (hist.)
2016,ráno,moming
2017,razit mince,to mint
2018,razítkovat,to rubber-stamp
2019,ražebné,mintage (num.)
2020,reálka,realschule (secondary technical school)
2021,rebel,see buřič
2022,rebelie,rebellion
2023,selská rebelie,peasants' rebellion
2024,recto,recto (the right-hand page of open book)
2025,redaktor,editor
2026,redemptorista redemptoristka reedice,reissue
2027,reemigrant,re-émigré
2028,reforma,subst. reform
2029,regiment,see pluk
2030,registratura,see spisovna
2031,rehabilitovat,to rehabilitate
2032,rejstřík,see registrum
2033,berní rejstřík,tax register (dipi.)119
2034,rejstřík zachovacích listů,register of letters of probity
2035,urbární rejstřík,(exact) land and duties register
2036,rejtar,ríder (hist.)
2037,rekatolizace,recatholicisation
2038,násilná rekatolizace,forced recatholicisation
2039,rekrut,recruit
2040,relace,subst. report
2041,repertář,"repertory (index, register)"
2042,represe,"suppression, oppression, repression"
2043,reprodukce,reproduction
2044,republika,republic
2045,Československá lidová republika,the Czechoslovak People's Republic
2046,Československá socialistická republika,the Czechoslovak Socialistic Republic
2047,Druhá republika,the Second Republic
2048,První republika,the First Republic
2049,revertent,see navrátilec
2050,revmatismus,rheumatism
2051,revolta,revolt
2052,robátko,see dítě (hist.)
2053,robě,see dítě (hist.)
2054,jízdní robota,"(=,,ride manorial labour"")"
2055,ruční robota,"(=,,hand manorial labour"") see pěší robota"
2056,robotník,villein (doing compulsmy work-robota)
2057,robotovat,to perform one's corvée (hist.)
2058,ročenka,year-book
2059,rodiče,parents
2060,rodičovský,parental
2061,rodičovství,parenthood
2062,plánované rodičovství,planned parenthood
2063,rodilý,native-bom
2064,rodina,family
2065,jaderná rodina,nuclear family (dem.)
2066,rodinný,"familial, family"
2067,rodinná hrobka,family vault
2068,rodinná kronika,"family history book, family records"
2069,rodinná vlastnost,family strain
2070,rodinné jméno,family name
